# The following text file defines a data item name replacement list that
# can be used by the 'cif_correct_tags' script. The file adheres to the
# following pattern:
#
# _incorrect_tag                      _correct_tag
#

# _geom_angle_atom_site_label_1
_atom_site_symmetry_multiplicit       _atom_site_symmetry_multiplicity
_atom_site_symmetry_mltiplicity       _atom_site_symmetry_multiplicity

# _atom_site_site_symmetry_multiplicity
_atom_site_site_symmetry_mutiplicity  _atom_site_site_symmetry_multiplicity

# _atom_site_calc_flag
_atom_site_calc_flags                 _atom_site_calc_flag

# _atom_site_refinement_flags
_atom_site_refinement_flag            _atom_site_refinement_flags

# _atom_site_refinement_flags_posn
_atom_site_refinement_flag_posn       _atom_site_refinement_flags_posn

# _atom_site_U_iso_or_equiv
_atom_site_u_iso                      _atom_site_U_iso_or_equiv

# _atom_type_scat_dispersion_imag
_atom_type_scat_imag                  _atom_type_scat_dispersion_imag
_atom_type__scat_dispersion_imag      _atom_type_scat_dispersion_imag
_atom_type_scat_dispersion_image      _atom_type_scat_dispersion_imag

# _atom_type_scat_dispersion_real
_atom_type_dispersion_real            _atom_type_scat_dispersion_real
_atom_type__scat_dispersion_real      _atom_type_scat_dispersion_real

# _atom_type_scat_source
_atom_type_scat_sourc                 _atom_type_scat_source

# _chemical_absolute_configuration
_chemical_abs_config                  _chemical_absolute_configuration
_chcemical_absolute_configuration     _chemical_absolute_configuration
_chemical_aboslute_configuration      _chemical_absolute_configuration
_chemical_absolute_cofiguration       _chemical_absolute_configuration

# _diffrn_radiation_monochromator
_diffrn_radiation_monochromador       _diffrn_radiation_monochromator

# _diffrn_measurement_device_type
_diffrn_measurement_device_typ        _diffrn_measurement_device_type
_diffrn_measurement_device-type       _diffrn_measurement_device_type

# _diffrn_measurement_specimen_support
_diffrn_measurement_specimen_suport   _diffrn_measurement_specimen_support
_diffrn_measurement_specimen_suppport _diffrn_measurement_specimen_support
_diffrn_specimen_support              _diffrn_measurement_specimen_support
_diffrn_crystal_support               _diffrn_measurement_specimen_support

# _diffrn_measured_fraction_theta_full
_diffrn_msd_fraction_theta_full       _diffrn_measured_fraction_theta_full
_diffrn_measd_fraction_theta_full     _diffrn_measured_fraction_theta_full

# _diffrn_measured_fraction_theta_max
_diffrn_msd_fraction_theta_max        _diffrn_measured_fraction_theta_max
_diffrn_measd_fraction_theta_max      _diffrn_measured_fraction_theta_max
_diffrn_measured_fract_theta_max      _diffrn_measured_fraction_theta_max

# _diffrn_ambient_temperature
_diffrn_ambient_temperature,k         _diffrn_ambient_temperature

# _refine_ls_structure_factor_coeff
_refine_ls_structure_factor_coeff     _refine_ls_structure_factor_coef

# _reflns_threshold_expression
_reflns_observed_expression           _reflns_threshold_expression

# _exptl_crystal_F_000
# The "_exptl_crystal_f_000'" data name might actually not be misspelt,
# but point to a different data item, not yet defined in the standard
# dictionaries. In all cases it was encountered in the COD so far,
# both "_exptl_crystal_f_000" and '"_exptl_crystal_f_000'" data items
# were present in the file and had different values
#_exptl_crystal_f_000'                 _exptl_crystal_F_000
_exptl_crystal_f000                   _exptl_crystal_F_000
_exptl_cryst_f_000                    _exptl_crystal_F_000
_f(000)                               _exptl_crystal_F_000

# _exptl_absorpt_process_details
_exptl_aabsorpt_process_details       _exptl_absorpt_process_details
_exptl_abosrpt_process_details        _exptl_absorpt_process_details
_exptl_absorp_process_details         _exptl_absorpt_process_details
_exptl_absorpt__process_details       _exptl_absorpt_process_details
_exptl_absorpt_process_detail         _exptl_absorpt_process_details
_exptl_absorpt_process_detais         _exptl_absorpt_process_details

# _exptl_crystal_colour
_exptl_crystal_collour                _exptl_crystal_colour
_exptl_crystal_color                  _exptl_crystal_colour
_exptl_crystal_corlour                _exptl_crystal_colour

# _publ_contact_author
_pub_contact_author                   _publ_contact_author
_publ_contact_autor                   _publ_contact_author
_pub1_contact_author:                 _publ_contact_author
_pub1_contact_author                  _publ_contact_author
_publ_contact_author:                 _publ_contact_author
_public_contact_author                _publ_contact_author

# _publ_contact_author_phone
_publ-contact_author-phone            _publ_contact_author_phone

# _publ_contact_author_address
_contact_author_address               _publ_contact_author_address
_publ_contact_address                 _publ_contact_author_address
_publ_contact_author_addres           _publ_contact_author_address
_publ_contact-author_address          _publ_contact_author_address
_publ_contact_autor_address           _publ_contact_author_address
_publ_contact_author_adress           _publ_contact_author_address

# _publ_contact_author_email
_contact_author_email                 _publ_contact_author_email
_publ_contact-author_email            _publ_contact_author_email
_pub_contact_author_email             _publ_contact_author_email
_publ_contact_email                   _publ_contact_author_email
_publ_contact_e-mail                  _publ_contact_author_email
_publ_contact_author_e-mail           _publ_contact_author_email
_publ_contact_author_mail             _publ_contact_author_email

# _publ_contact_author_fax
_contact_author_fax                   _publ_contact_author_fax

# _publ_contact_author_name
_contact_author_name                  _publ_contact_author_name
_publ_contact_autor_name              _publ_contact_author_name
_publ_contact_name                    _publ_contact_author_name

# _publ_contact_author_phone
_contact_author_phone                 _publ_contact_author_phone
_publ_contact_authot_phone            _publ_contact_author_phone
_publ_contact_author-phone            _publ_contact_author_phone

# _publ_contact_lette
_publ_contact_lette                   _publ_contact_letter

# _iucr_refine_instruction_details
## The '_iucr_refine_instruction_details' data name was incorrectly mentioned
## in an IUCr publication (see https://scripts.iucr.org/cgi-bin/paper?me0398).
## This data name was added in to the CIF_IUCr dictionary and immediately
## deprecated to accommodate for this mistake. The use of this data name is
## highly discouraged therefore it should be converted to the proper one when
## possible.
_iucr_refine_instruction_details      _iucr_refine_instructions_details
_iucr_refine-instructions_details     _iucr_refine_instructions_details
_iucr_refine_insrtructions_details    _iucr_refine_instructions_details
_iucr_refine_instructins_details      _iucr_refine_instructions_details
_iucr_refine_instruction_detail       _iucr_refine_instructions_details
_iucr_refine_instructions_datails     _iucr_refine_instructions_details
_iucr_refine_instructios_details      _iucr_refine_instructions_details
_iucr_refine_instructuions_details    _iucr_refine_instructions_details
_iucr_refine_istructions_details      _iucr_refine_instructions_details
_iucr_refinement_instructions_details _iucr_refine_instructions_details
